MOVIES,Year,RATING,VOTES,RunTime,Gross_Clean,GENRE,ONE-LINE,Director_Clean,Stars_Clean,Type,Status
Apostle,2018.0,6.3,46866.0,130.0,NaN,"Drama, Fantasy, Horror","In 1905, a drifter on a dangerous mission to rescue his kidnapped sister tangles with a sinister religious cult on an isolated island.",Gareth Evans,"Dan Stevens, Richard Elfyn, Paul Higgins, Bill Milner",Movie,Released
"Aram, Aram",2015.0,6.6,180.0,79.0,NaN,Drama,NaN,Christopher Chambers,"John Roohinian, Levon Sharafyan, Sevak Hakoyan, David Villada",Movie,Released
Arango y Sanint: Ríase el show,2018.0,4.0,40.0,NaN,NaN,Comedy,NaN,"Raúl Campos, Jan Suter","Julián Arango, Antonio Sanint",Movie,Released
Arangsaddojeon,2012.0,7.5,733.0,NaN,NaN,"Action, Comedy, Fantasy","Lee Eun Oh, a noble's son, arrives at a small village in search of his missing mother. There, Arang, the ghost of a young woman that lost her memories of her past life, asks him to help her to figure out her identity and how she died.",NaN,"Shin Min-a, Lee Joon-Gi, Woo-jin Yeon, Jeong-su Han",Movie,Released
Aranyak,NaN,NaN,0.0,NaN,NaN,"Crime, Thriller","When a local murder is being investigated, a mystery and old ancient myths come to light.",NaN,"Saurav Khurana, Parambrata Chattopadhyay, Zakir Hussain, Ashutosh Rana",Movie,Released
Arashi's Diary: Voyage,2019.0,7.5,40.0,NaN,NaN,"Documentary, Music","Twenty years after their debut, join the beloved members of Arashi on a new journey as they showcase their lives, talents and gifts to the world.",NaN,Arashi,Movie,Released
Arbitrage,2012.0,6.6,51051.0,107.0,7920000.0,"Drama, Thriller",A troubled hedge fund magnate desperate to complete the sale of his trading empire makes an error that forces him to turn to an unlikely person for help.,Nicholas Jarecki,"Richard Gere, Susan Sarandon, Brit Marling, Tim Roth",Movie,Released
Arcane,2021.0,NaN,0.0,NaN,NaN,"Animation, Action, Adventure","Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart.",NaN,,Series,Ongoing
Archer,2009.0,8.6,141784.0,22.0,NaN,"Animation, Action, Comedy",Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,NaN,"H. Jon Benjamin, Judy Greer, Amber Nash, Chris Parnell",Series,Ongoing
Archibald's Next Big Thing,2019.0,7.8,241.0,24.0,NaN,"Animation, Adventure, Comedy",The adventures of a care-free Chicken named Archibald.,NaN,"Tony Hale, Rosamund Pike, Kari Wahlgren, Chelsea Kane",Series,Ended
